model_name,hash,size_kb,timestamp
model,0a4479bd5c61765ece0ca074798f2bb1,1313.36,2026-06-09T09:06:26.147384
model,0a4479bd5c61765ece0ca074798f2bb1,1313.36,2026-06-09T09:08:08.340335
model,0a4479bd5c61765ece0ca074798f2bb1,1313.36,2026-06-09T09:09:05.776469
